Percentage of Women,Percentage of Men,Percentage of Eldelry - 65 or more years ,Percentage of Youth - 15-24 years,Average family size - 1 to 3 members,Town,Average family size - 4 to 6 members,Average family size - 7 or more members ,District,family
49.0,51.0,11.0,12.0,0, Bireh,1,0,Mount_Lebanon_Governorate,4-6
70.0,30.0,35.0,35.0,0,AAridet Cheikh Zennad,0,1,Akkar_Governorate,7+
53.0,47.0,80.0,3.0,0,Aaba,1,0,North_Governorate,4-6
50.0,50.0,25.0,35.0,0,Aabadiyeh,1,0,Baabda_District,4-6
50.0,50.0,60.0,20.0,0,Aabaydat,1,0,Byblos_District,4-6
55.0,45.0,5.0,20.0,0,Aabbesiyyi,1,0,Tyre_District,4-6
50.0,50.0,25.0,10.0,0,Aabra Saida,1,0,Sidon_District,4-6
52.0,48.0,20.0,20.0,0,Aabrine,1,0,Batroun_District,4-6
60.0,40.0,10.0,25.0,0,Aachach,1,0,Zgharta_District,4-6
55.0,45.0,10.0,35.0,0,Aadaysseh Marjaayoun,1,0,Marjeyoun_District,4-6
60.0,40.0,15.0,25.0,0,Aadoussiyeh,1,0,Sidon_District,4-6
60.0,40.0,4.0,18.0,0,Aain Aanoub,1,0,Aley_District,4-6
55.0,45.0,30.0,30.0,0,Aain Aarab Rachaya,1,0,Beqaa_Governorate,4-6
50.0,50.0,4.0,40.0,0,Aain Aata,1,0,Beqaa_Governorate,4-6
52.0,48.0,23.0,23.0,1,Aain Drafil,0,0,Aley_District,1-3
50.0,50.0,15.0,30.0,0,Aain Ed-Delb,1,0,Sidon_District,4-6
40.0,30.0,5.0,5.0,1,Aain Ed-Delbe,0,0,Byblos_District,1-3
55.0,45.0,30.0,10.0,0,Aain Ej-Jdideh Aaley,1,0,Aley_District,4-6
40.0,60.0,20.0,40.0,1,Aain El Saydeh,0,0,Aley_District,1-3
55.0,45.0,10.0,60.0,0,Aain El-Ghouaybeh,1,0,Byblos_District,4-6
55.0,45.0,25.0,10.0,0,Aain El-Qabu,1,0,Matn_District,4-6
50.0,50.0,25.0,20.0,0,Aain Er-Roummaneh Aaley,1,0,Aley_District,4-6
50.0,50.0,15.0,20.0,0,Aain Es-Sindiane,1,0,Matn_District,4-6
60.0,40.0,15.0,15.0,1,Aain Et-Teffaha,0,0,Matn_District,1-3
65.0,35.0,5.0,30.0,0,Aain Et-Tineh-Miniyeh,1,0,Miniyeha-Danniyeh_District,4-6
55.0,45.0,25.0,35.0,0,Aain Ez-Zeit,1,0,Akkar_Governorate,4-6
50.0,50.0,5.0,20.0,0,Aain Ez-Zeitouneh,1,0,Matn_District,4-6
55.0,45.0,15.0,35.0,1,Aain Harsha,0,0,Beqaa_Governorate,1-3
55.0,45.0,10.0,15.0,0,Aain Ibl,1,0,Bint_Jbeil_District,4-6
40.0,60.0,15.0,30.0,0,Aain Jarfa,1,0,Hasbaya_District,4-6
55.0,45.0,5.0,10.0,0,Aain Jrain,1,0,Byblos_District,4-6
60.0,40.0,25.0,20.0,0,Aain Kfar Zabad,1,0,Zahle_District,4-6
50.0,50.0,40.0,10.0,0,Aain Mouaffaq,1,0,Baabda_District,4-6
50.0,50.0,20.0,40.0,0,Aain Ouzain,1,0,Mount_Lebanon_Governorate,4-6
50.0,59.0,20.0,60.0,0,Aain Qania,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,10.0,15.0,0,Aain Qinia,1,0,Hasbaya_District,4-6
60.0,40.0,5.0,25.0,0,Aain Tinta,1,0,Akkar_Governorate,4-6
53.0,47.0,10.0,15.0,0,Aain Traz,1,0,Aley_District,4-6
40.0,60.0,40.0,60.0,0,Aain Yaaqoub,1,0,Akkar_Governorate,4-6
54.0,46.0,25.0,30.0,0,Aain Zebdeh,1,0,Western_Beqaa_District,4-6
40.0,60.0,5.0,12.0,0,Aain Zhalta,1,0,Mount_Lebanon_Governorate,4-6
